,soil_moisture,humidity,temperature,labels
618,64,52,21.2,0
619,64,52,21.4,0
620,63,53,21.0,0
621,64,55,21.2,0
622,63,58,21.1,0
623,63,60,21.3,0
624,63,60,21.6,0
625,64,60,21.4,1
626,63,60,21.4,0
627,64,61,21.1,1
628,64,62,21.1,1
629,64,63,20.8,1
630,64,63,20.9,1
631,64,62,20.9,1
632,64,63,20.8,1
633,64,62,21.0,1
634,64,64,21.1,1
635,64,66,20.5,1
636,64,67,20.3,1
637,64,68,20.5,1
638,64,68,20.3,1
639,64,68,20.4,1
640,64,69,20.1,1
641,64,70,20.1,1
642,64,70,20.0,1
643,63,70,20.0,1
644,64,72,19.7,1
645,64,72,19.6,1
646,64,70,20.0,1
647,64,71,19.9,1
648,64,70,20.0,1
649,64,72,20.0,1
650,63,73,19.6,0
651,64,73,19.7,1
652,64,72,19.6,1
653,64,72,19.6,1
654,64,71,19.5,1
655,64,70,19.3,1
656,64,67,19.5,1
657,64,67,19.6,1
658,64,64,19.8,1
659,64,62,20.4,1
660,64,62,20.2,1
661,64,63,19.9,1
662,64,66,19.8,1
663,64,67,19.4,1
664,64,71,19.5,1
665,64,74,19.5,1
666,64,78,18.9,1
667,64,80,19.0,0
668,64,82,18.8,0
669,64,81,19.4,0
670,64,81,19.2,0
671,64,78,19.3,1
672,64,82,19.0,0
673,64,83,18.6,0
674,64,82,18.7,0
675,64,83,18.8,0
676,64,83,18.8,0
677,64,83,18.9,0
678,64,85,18.5,0
679,64,85,18.7,0
680,64,82,19.0,0
681,64,84,19.1,0
682,64,85,18.7,0
683,64,84,18.9,0
684,64,83,19.1,0
685,64,82,19.5,0
686,64,81,19.6,0
687,63,83,19.6,0
688,64,84,19.6,0
689,64,83,19.9,0
690,63,81,20.2,0
691,63,78,20.4,0
692,64,73,20.8,1
693,63,70,20.9,0
694,63,66,21.3,0
695,63,62,22.0,1
696,63,51,24.0,0
697,63,49,25.4,0
698,63,47,26.1,0
699,63,46,26.5,0
700,63,46,27.0,0
701,63,46,27.5,0
702,63,43,28.0,0
703,62,42,28.7,0
704,63,43,28.2,0
705,62,39,29.3,0
706,62,38,29.1,0
707,62,39,28.4,0
708,62,36,29.2,0
709,62,39,27.4,0
710,62,36,28.8,0
711,62,34,29.4,0
712,61,63,25.9,0
713,61,63,25.9,0
714,61,63,25.9,0
715,61,63,25.9,0
716,61,63,25.9,0
717,61,63,25.9,0
718,61,63,25.9,0
719,61,63,25.9,0
720,61,63,25.9,0
721,61,63,25.9,0
722,61,63,25.9,0
723,61,63,25.9,0
724,61,63,25.9,0
725,61,63,25.9,0
726,61,63,25.9,0
727,60,63,25.9,0
728,61,63,25.9,0
729,61,63,25.9,0
730,61,63,25.9,0
731,60,63,25.9,0
732,60,63,25.9,0
733,61,63,25.9,0
734,60,63,25.9,0
735,60,63,25.9,0
736,60,63,25.9,0
737,60,63,25.9,0
738,60,63,25.9,0
739,60,63,25.9,0
740,61,63,25.9,0
741,60,63,25.9,0
742,60,63,25.9,0
743,60,63,25.9,0
744,61,63,25.9,0
745,61,63,25.9,0
746,60,63,25.9,0
747,60,63,25.9,0
748,60,63,25.9,0
749,61,63,25.9,0
750,61,63,25.9,0
751,60,63,25.9,0
752,61,63,25.9,0
753,60,63,25.9,0
754,61,63,25.9,0
755,60,63,25.9,0
756,60,63,25.9,0
757,60,63,25.9,0
758,60,63,25.9,0
759,61,63,25.9,0
760,61,63,25.9,0
761,60,63,25.9,0
762,59,63,25.9,0
763,59,63,25.9,0
764,59,63,25.9,0
765,60,63,25.9,0
766,60,63,25.9,0
767,60,63,25.9,0
768,59,63,25.9,0
769,60,63,25.9,0
770,60,63,25.9,0
771,59,63,25.9,0
772,60,63,25.9,0
773,60,63,25.9,0
774,60,63,25.9,0
775,60,63,25.9,0
776,60,63,25.9,0
777,61,63,25.9,0
778,60,63,25.9,0
779,60,63,25.9,0
780,59,63,25.9,0
781,59,63,25.9,0
782,59,63,25.9,0
783,59,63,25.9,0
784,59,63,25.9,0
785,60,63,25.9,0
786,60,63,25.9,0
787,59,63,25.9,0
788,60,63,25.9,0
789,60,63,25.9,0
790,59,63,25.9,0
791,60,63,25.9,0
792,60,63,25.9,0
793,59,63,25.9,0
794,60,63,25.9,0
795,61,63,25.9,0
796,61,63,25.9,0
797,61,63,25.9,0
798,69,63,26.0,1
799,68,65,25.5,1
800,68,66,25.3,1
801,68,64,25.4,1
802,67,66,25.1,1
803,67,66,25.0,1
804,67,66,25.0,1
805,67,66,25.0,1
806,66,67,24.8,1
807,67,66,24.9,1
808,66,67,24.7,1
809,66,69,24.4,1
810,66,70,24.3,1
811,67,71,24.4,1
812,66,72,24.2,1
813,66,73,24.1,1
814,67,76,23.9,1
815,66,76,23.9,1
816,66,77,23.7,1
817,66,78,23.8,1
818,67,79,23.5,1
819,66,80,23.5,0
820,66,80,23.5,0
821,66,81,23.4,0
822,66,82,23.4,0
823,66,82,23.3,0
824,66,82,23.3,0
825,66,82,23.2,0
826,66,83,23.1,0
827,66,82,23.3,0
828,65,81,23.2,0
829,66,81,23.2,0
830,66,81,23.2,0
831,65,82,23.0,0
832,66,81,23.1,0
833,66,82,23.0,0
834,66,82,23.0,0
835,66,83,22.8,0
836,66,82,22.8,0
837,66,82,22.9,0
838,66,82,22.8,0
839,65,81,23.0,0
840,66,82,22.9,0
841,66,81,23.0,0
842,65,82,22.9,0
843,66,81,22.8,0
844,65,82,22.8,0
845,65,83,22.6,0
846,66,83,22.6,0
847,65,83,22.6,0
848,65,83,22.7,0
849,65,84,22.5,0
850,65,84,22.5,0
851,66,84,22.4,0
852,66,83,22.4,0
853,66,84,22.4,0
854,65,85,22.1,0
855,65,85,22.2,0
