index,moisture_1,humidity_1,temperature_1
1242,64,58,20.5
1243,63,54,20.6
1244,63,60,20.5
1245,62,63,20.6
1246,63,64,20.2
1247,61,56,20.4
1248,62,59,20.3
1249,61,59,20.5
1250,62,54,20.5
1251,63,61,20.4
1252,63,60,20.4
1253,62,64,20.3
1254,63,63,20.2
1255,63,50,20.6
1256,62,60,20.5
1257,62,49,20.5
1258,62,54,20.6
1259,62,59,20.6
1260,62,47,21.2
1261,63,56,21.3
1262,63,51,21.4
1263,63,88,21.5
1264,63,86,21.8
1265,62,85,22.0
1266,64,82,22.4
1267,64,79,22.7
1268,64,71,24.4
1269,63,64,25.9
1270,63,58,26.8
1271,64,55,27.9
1272,64,54,27.9
1273,64,51,28.5
1274,64,50,29.3
1275,64,49,28.7
1276,64,45,29.4
1277,63,44,29.3
1278,63,42,29.5
1279,64,40,29.5
1280,64,39,29.6
1281,64,38,28.8
1282,62,40,27.5
1283,63,37,29.3
1284,63,35,30.1
1285,62,34,30.8
1286,63,33,30.7
1287,62,32,31.0
1288,62,33,31.2
1289,62,32,32.1
1290,63,30,31.6
1291,63,30,31.0
1292,63,29,32.0
1293,63,32,32.3
1294,62,38,32.3
1295,62,35,32.8
1296,63,37,32.1
1297,63,40,31.3
1298,63,38,32.6
1299,63,38,32.4
1300,63,40,32.3
1301,63,47,30.6
1302,63,50,32.4
1303,63,47,33.3
1304,63,48,33.6
1305,63,47,34.1
1306,62,49,33.4
1307,63,48,33.9
1308,63,47,34.3
1309,62,50,32.8
1310,63,49,33.7
1311,63,49,33.3
1312,63,51,33.6
1313,63,51,32.9
1314,63,51,33.9
1315,62,51,32.8
1316,63,50,34.7
1317,63,51,33.6
1318,63,50,34.2
1319,62,50,34.2
1320,63,51,34.4
1321,63,54,33.2
1322,63,59,30.8
1323,63,58,31.1
1324,63,58,30.7
1325,64,56,31.5
1326,63,54,33.1
1327,63,54,33.2
1328,63,54,32.7
1329,63,52,32.8
1330,62,54,32.8
1331,63,56,32.5
1332,63,58,31.9
1333,62,60,31.1
1334,63,57,32.8
1335,62,58,32.2
1336,63,57,32.7
1337,63,60,32.0
1338,63,59,32.3
1339,63,59,32.1
1340,62,60,31.5
1341,62,59,31.7
1342,62,59,32.1
1343,62,58,32.0
1344,62,59,32.4
1345,63,59,31.7
1346,63,61,31.6
1347,63,61,31.5
1348,64,60,32.3
1349,63,66,30.6
1350,63,64,31.0
1351,63,66,30.7
1352,63,65,30.9
1353,63,68,29.9
1354,63,70,29.5
1355,62,74,28.7
